"","age","cups","where_drink","purchase_other","favourite","favorite_specify","additions","additions_other","sweetener","style","strength","roast_level","caffeine","expertise","coffee_a_bitterness","coffee_a_acidity","coffee_a_personal_preference","coffee_b_bitterness","coffee_b_acidity","coffee_b_personal_preference","coffee_c_bitterness","coffee_c_acidity","coffee_c_personal_preference","coffee_d_bitterness","coffee_d_acidity","coffee_d_personal_preference","prefer_abc","prefer_ad","prefer_overall","wfh","total_spend","know_source","most_paid","most_willing","value_cafe","spent_equipment","value_equipment","gender","education_level","employment_status","number_children","political_affiliation"
"73","25-34 years old","2","At home",NA,"Espresso",NA,"No - just black",NA,NA,"Fruity","Very strong","Light","Full caffeine",7,1,4,5,1,5,5,4,1,2,5,2,3,"Coffee B","Coffee A","Coffee B","I primarily work from home",">$100","Yes","$10-$15","More than $20","Yes","More than $1,000","Yes","Male","Bachelor's degree","Employed full-time","None","Independent"
"74","25-34 years old","4","At home, At the office",NA,"Americano",NA,"No - just black",NA,NA,"Sweet","Very strong","Light","Full caffeine",6,3,5,5,4,1,2,3,2,1,2,3,4,"Coffee A","Coffee A","Coffee A","I primarily work in person","$80-$100","Yes","$15-$20","$15-$20","Yes","More than $1,000","Yes","Male","Doctorate or professional degree","Employed full-time","1","Democrat"
"75","25-34 years old","Less than 1","At home, On the go",NA,"Latte",NA,"Milk, dairy alternative, or coffee creamer",NA,NA,"Caramalized","Weak","Medium","Decaf",1,4,4,2,2,1,5,5,2,1,3,5,4,"Coffee B","Coffee D","Coffee B","I do a mix of both","<$20","No","$6-$8","$6-$8","No","Less than $20","Yes","Female","Master's degree","Employed full-time","None","No affiliation"
"76","35-44 years old","1","At home",NA,"Cortado",NA,"No - just black",NA,NA,"Fruity","Somewhat strong","Light","Half caff",6,4,4,4,4,3,3,2,2,2,5,4,5,"Coffee A","Coffee D","Coffee D","I primarily work from home","$20-$40","Yes","$4-$6","$4-$6","Yes","$300-$500","Yes","Male","Doctorate or professional degree","Employed full-time","2","No affiliation"
"77","25-34 years old","2","At the office, At home",NA,"Pourover",NA,"No - just black, Milk, dairy alternative, or coffee creamer",NA,NA,"Fruity","Medium","Light","Full caffeine",8,3,4,4,4,3,3,4,1,2,2,5,5,"Coffee A","Coffee D","Coffee D","I primarily work in person","$20-$40","Yes","$6-$8","$8-$10","No","$300-$500","Yes","Male","Master's degree","Employed full-time","1","Democrat"
"78","18-24 years old","1","At home",NA,"Pourover",NA,"No - just black",NA,NA,"Fruity","Somewhat strong","Medium","Full caffeine",8,1,5,3,3,2,5,4,1,4,2,4,5,"Coffee B","Coffee D","Coffee D","I primarily work from home","$20-$40","Yes","$15-$20","More than $20","Yes","$500-$1000","Yes","Male","High school graduate","Employed full-time","None","No affiliation"
"79","55-64 years old","4","At home, At the office, On the go, At a cafe",NA,"Americano",NA,"No - just black",NA,NA,"Bright","Medium","French","Full caffeine",7,4,2,1,3,3,3,3,2,4,1,3,5,"Coffee C","Coffee D","Coffee D","I primarily work from home","$40-$60","Yes","$8-$10","$10-$15","Yes","$300-$500","Yes","Male","Some college or associate's degree","Employed full-time","More than 3","Republican"
"80","25-34 years old","2","At home, At the office, At a cafe, On the go",NA,"Americano",NA,"No - just black",NA,NA,"Full Bodied","Somewhat strong","Medium","Full caffeine",8,1,5,2,3,2,3,3,2,4,4,4,1,"Coffee C","Coffee A","Coffee C","I do a mix of both","$20-$40","Yes","$4-$6","$8-$10","Yes","$50-$100","Yes","Male","Bachelor's degree","Employed full-time","None","Republican"
"81","35-44 years old","1","At home, At a cafe",NA,"Pourover",NA,"No - just black",NA,NA,"Juicy","Somewhat strong","Light","Full caffeine",8,2,4,4,3,2,2,3,2,2,1,4,5,"Coffee A","Coffee D","Coffee D","I primarily work from home","$40-$60","Yes","More than $20","More than $20",NA,"More than $1,000","Yes","Male","Bachelor's degree","Employed full-time","None","Democrat"
"82","25-34 years old","Less than 1","At the office, At home",NA,"Cold brew",NA,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",NA,"Granulated Sugar, Raw Sugar (Turbinado)","Sweet","Somewhat strong","Medium","Full caffeine",3,1,4,3,3,2,4,2,2,3,1,4,1,"Coffee B","Coffee A","Coffee B","I primarily work in person","<$20","No","$10-$15","$10-$15",NA,"More than $1,000","Yes","Male","Bachelor's degree","Employed full-time","None","Democrat"
"83","25-34 years old","2","At home, At a cafe",NA,"Regular drip coffee",NA,"No - just black",NA,NA,"Caramalized","Medium","Medium","Full caffeine",4,1,1,3,2,2,5,5,3,4,3,5,3,"Coffee B","Coffee A","Coffee D","I primarily work from home","$20-$40","Yes","$6-$8","$6-$8","Yes","$500-$1000","Yes","Male","Bachelor's degree","Employed full-time","None","Independent"
"84","25-34 years old","2","At home, At a cafe",NA,"Cortado",NA,"No - just black",NA,NA,"Fruity","Somewhat strong","Medium","Full caffeine",6,1,4,5,3,1,3,4,3,1,3,3,4,"Coffee A","Coffee A","Coffee A","I primarily work from home","$60-$80","Yes","$8-$10","More than $20","Yes","$500-$1000","Yes","Male","Master's degree","Employed full-time","None","Independent"
"85","35-44 years old","2","At home",NA,"Cortado",NA,"No - just black, Milk, dairy alternative, or coffee creamer",NA,NA,"Fruity","Medium","Blonde","Half caff",8,1,2,5,3,2,3,3,2,2,2,3,4,"Coffee A","Coffee A","Coffee A","I primarily work from home","$60-$80","Yes","More than $20","More than $20","No","More than $1,000","Yes","Male","Bachelor's degree","Employed full-time","None","No affiliation"
"86","55-64 years old","2","At home, At the office",NA,"Regular drip coffee",NA,"Milk, dairy alternative, or coffee creamer",NA,NA,"Full Bodied","Very strong","Dark","Full caffeine",7,1,3,1,3,2,3,2,2,2,3,4,2,"Coffee B","Coffee D","Coffee B","I primarily work in person","$20-$40","Yes","$8-$10","$8-$10","Yes","$100-$300","Yes","Male","Master's degree","Employed full-time","None","Independent"
"87","25-34 years old","Less than 1","None of these",NA,"Blended drink (e.g. Frappuccino)",NA,"Sugar or sweetener, Milk, dairy alternative, or coffee creamer, Flavor syrup",NA,"Maple Syrup, Artificial Sweeteners (e.g., Splenda), Granulated Sugar, Honey, Brown Sugar","Sweet","Weak","Italian","Decaf",1,1,5,5,3,4,4,4,4,2,1,5,5,"Coffee A","Coffee D","Coffee A","I do a mix of both","<$20","No","More than $20","More than $20","No","$100-$300","Yes","Male","Bachelor's degree","Employed full-time","None","Democrat"
"88","25-34 years old","2","At home",NA,"Mocha",NA,"No - just black, Sugar or sweetener",NA,"Granulated Sugar","Bright","Somewhat strong","Medium","Full caffeine",5,3,4,1,1,1,4,3,2,3,1,3,4,"Coffee B","Coffee D","Coffee B","I primarily work in person","$20-$40","Yes","$6-$8","$6-$8","No","$100-$300","Yes","Non-binary","High school graduate","Employed part-time","None","No affiliation"
"89","35-44 years old","More than 4","On the go",NA,"Iced coffee",NA,"Milk, dairy alternative, or coffee creamer",NA,NA,"Nutty","Somewhat strong","Light","Full caffeine",8,2,4,4,2,1,4,3,3,3,1,4,5,"Coffee B","Coffee A","Coffee A","I primarily work in person",">$100","Yes","More than $20","$10-$15","Yes","$500-$1000","Yes","Male","Doctorate or professional degree","Employed full-time","None","Democrat"
"90","45-54 years old","3","At home",NA,"Espresso",NA,"No - just black",NA,NA,"Bright","Somewhat strong","Medium","Full caffeine",6,2,3,4,4,3,3,3,3,4,3,5,2,"Coffee C","Coffee A","Coffee C","I primarily work from home","$20-$40","Yes","$10-$15","$10-$15","Yes","$50-$100","Yes","Male","Bachelor's degree","Employed full-time","None","Democrat"
"91","35-44 years old","2","At home, At the office",NA,"Pourover",NA,"No - just black",NA,NA,"Fruity","Medium","Light","Full caffeine",6,2,4,3,3,1,2,4,2,4,1,5,5,"Coffee C","Coffee D","Coffee D","I do a mix of both","$40-$60","Yes","$8-$10","$4-$6","Yes","$500-$1000","Yes","Male","Some college or associate's degree","Employed full-time","None","Democrat"
"92","25-34 years old","More than 4","At home, On the go, At a cafe, At the office",NA,"Pourover",NA,"No - just black",NA,NA,"Fruity","Somewhat strong","Light","Full caffeine",8,2,4,4,3,3,2,2,2,3,1,5,5,"Coffee A","Coffee D","Coffee D",NA,"$60-$80","Yes","More than $20","More than $20","No","More than $1,000","Yes","Non-binary","Bachelor's degree","Employed full-time","None","No affiliation"
"93","25-34 years old","3","At a cafe, At the office, On the go, At home",NA,"Cappuccino",NA,"Milk, dairy alternative, or coffee creamer",NA,NA,"Chocolatey","Somewhat strong","Medium","Full caffeine",7,3,3,5,4,1,2,2,2,4,2,4,3,"Coffee A","Coffee A","Coffee A","I primarily work from home","$40-$60","No","$8-$10","$10-$15","Yes","$100-$300","Yes","Male","Bachelor's degree","Employed full-time","None","Democrat"
"94","45-54 years old","2","At home, At a cafe",NA,"Espresso",NA,"Milk, dairy alternative, or coffee creamer",NA,NA,"Full Bodied","Medium","Light","Full caffeine",6,1,4,5,4,2,4,2,4,4,5,4,1,"Coffee A","Coffee A","Coffee A","I primarily work from home","$20-$40","Yes","$10-$15","$10-$15","Yes","$50-$100","Yes","Female","Some college or associate's degree","Unemployed","None","Democrat"
"95","35-44 years old","3","At home, On the go, At a cafe, At the office",NA,"Pourover",NA,"No - just black",NA,NA,"Fruity","Somewhat strong","Light","Full caffeine",6,2,4,4,4,3,3,4,2,3,2,4,5,"Coffee A","Coffee D","Coffee D","I do a mix of both","$60-$80","Yes","$10-$15","More than $20","Yes","$300-$500","Yes","Male","Doctorate or professional degree","Employed full-time","2","Democrat"
"96","25-34 years old","2","At the office, At home, At a cafe",NA,"Regular drip coffee",NA,"No - just black, Milk, dairy alternative, or coffee creamer",NA,NA,"Fruity","Somewhat strong","Light","Full caffeine",8,1,4,5,5,2,1,4,2,3,2,5,5,"Coffee A","Coffee D","Coffee D","I primarily work from home","$20-$40","Yes","$8-$10","$6-$8","No","$300-$500","Yes","Prefer not to say",NA,NA,NA,NA
"97","25-34 years old","2","At home, At a cafe",NA,"Latte",NA,"No - just black",NA,NA,"Chocolatey","Medium","Medium","Full caffeine",8,2,4,3,5,1,1,4,2,5,1,5,3,"Coffee C","Coffee D","Coffee C","I primarily work from home","$40-$60","Yes","$6-$8","$6-$8","No","$500-$1000","Yes",NA,NA,NA,NA,NA
"98","25-34 years old","2","At the office, At home, At a cafe, On the go",NA,"Pourover",NA,"No - just black",NA,NA,"Full Bodied","Somewhat strong","Medium","Full caffeine",8,1,3,3,2,2,5,2,3,4,1,5,1,"Coffee B","Coffee A","Coffee B","I primarily work in person","$20-$40","Yes","$8-$10","$15-$20","Yes","More than $1,000","Yes","Male","Bachelor's degree","Student","None","No affiliation"
"99","25-34 years old","3","On the go, At home",NA,"Espresso",NA,"No - just black, Milk, dairy alternative, or coffee creamer, Sugar or sweetener, Flavor syrup",NA,"Raw Sugar (Turbinado)","Caramalized","Somewhat strong","Medium","Full caffeine",6,4,4,2,3,2,5,3,2,4,3,5,5,"Coffee B","Coffee D","Coffee D","I primarily work from home","$40-$60","No","$6-$8","$6-$8","Yes","More than $1,000","Yes","Male","Bachelor's degree","Employed full-time","1","Democrat"
"100",">65 years old","More than 4","At home",NA,"Regular drip coffee",NA,"No - just black",NA,NA,"Full Bodied","Very strong","French","Full caffeine",5,5,5,1,1,1,5,2,2,4,2,2,2,"Coffee B","Coffee D","Coffee B","I primarily work from home","$40-$60","No","$4-$6","$2-$4","No","$100-$300","Yes","Male","Bachelor's degree","Retired","More than 3","Republican"
"101","25-34 years old","3","At the office, At home",NA,"Regular drip coffee",NA,"No - just black",NA,NA,"Bright","Somewhat strong","Light","Full caffeine",7,2,3,2,3,2,1,2,3,3,2,3,4,"Coffee A","Coffee D","Coffee D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","35-44 years old","More than 4","At the office, At home, On the go",NA,"Iced coffee",NA,"No - just black",NA,NA,"Full Bodied","Somewhat strong","Medium","Full caffeine",8,2,3,3,2,1,4,3,1,3,2,4,2,"Coffee C","Coffee A","Coffee C","I primarily work in person","$80-$100","Yes","More than $20","More than $20","Yes","$500-$1000","Yes","Male","Master's degree","Employed full-time","None","No affiliation"
"103","25-34 years old","1","At home, At a cafe",NA,"Regular drip coffee",NA,"No - just black",NA,NA,"Full Bodied","Medium","Medium","Full caffeine",2,2,5,3,3,4,4,2,3,1,2,5,5,"Coffee B","Coffee D","Coffee D","I primarily work from home","$20-$40","No","$6-$8","$8-$10","No","$100-$300","Yes","Male","Master's degree","Employed full-time","None","Democrat"
"104","25-34 years old","3","At home",NA,"Regular drip coffee",NA,"No - just black",NA,NA,"Fruity","Somewhat strong","Light","Full caffeine",7,2,4,4,4,2,2,3,3,3,2,5,5,"Coffee A","Coffee D","Coffee D","I primarily work from home","$40-$60","Yes","$6-$8","$6-$8","Yes","$300-$500","Yes","Male","Master's degree","Student","None","Republican"
"105","18-24 years old","Less than 1","At a cafe, At home",NA,"Cortado",NA,"No - just black, Flavor syrup",NA,NA,"Juicy","Medium","Light","Full caffeine",6,3,4,3,2,2,4,4,2,3,2,3,5,"Coffee B","Coffee D","Coffee B","I primarily work from home","$40-$60","Yes","$8-$10","$8-$10","Yes","$500-$1000","Yes","Female","Bachelor's degree","Employed full-time","None","Independent"
"106","25-34 years old","2","At home, At a cafe",NA,"Americano",NA,"No - just black",NA,NA,"Fruity","Medium","Light","Full caffeine",8,4,3,3,2,4,3,5,3,2,2,4,5,"Coffee B","Coffee D","Coffee C","I primarily work from home","$60-$80","Yes","$6-$8","$8-$10","Yes","$500-$1000","Yes","Male","Bachelor's degree","Employed full-time","None","No affiliation"
"107","25-34 years old","Less than 1","On the go",NA,"Mocha",NA,"Milk, dairy alternative, or coffee creamer",NA,NA,"Chocolatey","Medium","Dark","Full caffeine",1,3,3,4,4,2,4,4,2,5,2,5,2,"Coffee C","Coffee D","Coffee C","I primarily work from home","<$20","No","$8-$10","$8-$10","Yes","Less than $20","Yes","Female","Bachelor's degree","Employed full-time","None","Republican"
"108","25-34 years old","2","At home",NA,"Pourover",NA,"Milk, dairy alternative, or coffee creamer",NA,NA,"Chocolatey","Somewhat strong","Medium","Decaf",6,2,3,2,4,1,3,3,2,3,1,4,1,"Coffee C","Coffee A","Coffee C","I primarily work from home","$40-$60","Yes","$8-$10","$8-$10","Yes","$100-$300","Yes","Female","Doctorate or professional degree","Employed full-time","None","Democrat"
"109","18-24 years old","Less than 1","At the office",NA,"Mocha",NA,"Sugar or sweetener",NA,"Granulated Sugar","Sweet","Medium","Medium","Full caffeine",1,3,2,1,1,4,3,3,1,5,2,4,4,"Coffee C","Coffee D","Coffee C","I primarily work in person","<$20","No","$8-$10","$15-$20","No","Less than $20","Yes","Male","Some college or associate's degree","Employed full-time","None","Democrat"
"110","25-34 years old","Less than 1","None of these",NA,"Other","Tea","Milk, dairy alternative, or coffee creamer, Sugar or sweetener",NA,"Granulated Sugar","Sweet","Medium","Dark","Full caffeine",1,3,3,1,5,3,2,2,5,3,3,4,3,"Coffee C","Coffee D","Coffee D","I primarily work from home","<$20","No","$8-$10","$10-$15","Yes","$50-$100","Yes","Male","Bachelor's degree","Employed full-time","None","Democrat"
"111","35-44 years old","2","On the go, At home, At a cafe",NA,"Latte",NA,"No - just black",NA,NA,"Bright","Somewhat strong","Light","Full caffeine",6,2,5,4,4,3,5,4,2,3,1,5,5,"Coffee B","Coffee D","Coffee D","I primarily work from home","$40-$60","Yes","$8-$10","$8-$10","Yes","$500-$1000","Yes","Male","Bachelor's degree","Employed part-time","None","Democrat"
"112","25-34 years old","2","At home, On the go, At the office",NA,"Latte",NA,"Milk, dairy alternative, or coffee creamer",NA,NA,"Nutty","Very strong","Medium","Full caffeine",7,1,4,4,4,3,5,1,1,2,5,4,1,"Coffee B","Coffee A","Coffee B","I primarily work from home","$20-$40","No","$8-$10","$10-$15","Yes","$300-$500","Yes","Female","Bachelor's degree","Employed full-time","None","No affiliation"
"113","25-34 years old","2","At home",NA,"Cortado",NA,"No - just black, Milk, dairy alternative, or coffee creamer",NA,NA,"Fruity","Medium","Light","Full caffeine",8,4,3,4,5,3,1,3,2,3,2,4,5,"Coffee A","Coffee D","Coffee B","I primarily work from home","$40-$60","Yes","$10-$15","$15-$20","Yes","More than $1,000","Yes","Male","Bachelor's degree","Employed full-time","1","No affiliation"
"114","25-34 years old","3","At the office, At home",NA,"Pourover",NA,"No - just black",NA,NA,"Fruity","Somewhat strong","Light","Full caffeine",6,2,4,4,4,2,2,3,2,3,1,4,5,"Coffee A","Coffee D","Coffee D","I primarily work in person","$40-$60","Yes","$10-$15","$15-$20","No","$100-$300","Yes","Male","Bachelor's degree","Employed full-time","None","Democrat"
"115","35-44 years old","2","At home",NA,"Regular drip coffee",NA,"No - just black",NA,NA,"Juicy","Medium","Light","Full caffeine",6,3,4,2,3,3,4,2,2,3,2,4,3,"Coffee C","Coffee D","Coffee D","I do a mix of both","$40-$60","Yes","More than $20","More than $20","Yes","$500-$1000","Yes","Male","Bachelor's degree","Employed full-time","None","Democrat"
"116","25-34 years old","Less than 1","At home, At a cafe",NA,"Cappuccino",NA,"No - just black",NA,NA,"Juicy","Somewhat strong","Light","Half caff",5,5,2,4,3,2,2,4,4,3,2,5,5,"Coffee A","Coffee D","Coffee D","I primarily work from home","<$20","Yes","$4-$6","$4-$6","Yes","$20-$50","Yes","Male","Doctorate or professional degree","Employed full-time","None","Independent"
"117","25-34 years old","2","At the office, At home",NA,"Espresso",NA,"No - just black",NA,NA,"Fruity","Somewhat strong","Light","Full caffeine",8,2,3,3,2,1,2,3,2,3,1,3,4,"Coffee A","Coffee D","Coffee D","I do a mix of both","$40-$60","Yes","More than $20","More than $20","Yes","More than $1,000","Yes","Male","Bachelor's degree","Employed full-time","2","No affiliation"
"118","35-44 years old","Less than 1","At home",NA,"Other","Espresso Tonic","No - just black",NA,NA,"Fruity","Somewhat strong","Light","Full caffeine",5,2,4,5,3,1,3,3,2,3,1,5,5,"Coffee A","Coffee D","Coffee D","I do a mix of both","$20-$40","Yes","$6-$8","$8-$10","No","More than $1,000","Yes","Male","Bachelor's degree","Employed full-time","None","Democrat"
"119","25-34 years old","1","At home, At a cafe",NA,"Pourover",NA,"No - just black",NA,NA,"Fruity","Medium","Medium","Full caffeine",7,3,4,4,2,3,5,4,2,2,2,4,5,"Coffee B","Coffee D","Coffee D","I primarily work in person","<$20","Yes","$10-$15","$10-$15","Yes","More than $1,000","Yes","Male","Master's degree","Employed full-time","None","No affiliation"
"120","25-34 years old","2","At the office, On the go",NA,"Latte",NA,"Milk, dairy alternative, or coffee creamer, No - just black",NA,NA,"Nutty","Somewhat strong","Medium","Full caffeine",6,2,4,2,4,3,3,1,2,5,2,5,2,"Coffee C","Coffee D","Coffee C","I do a mix of both","<$20","Yes","$6-$8","$6-$8","Yes","$100-$300","Yes","Female","Some college or associate's degree","Employed full-time","None","Democrat"
"121","35-44 years old","3","At the office, At a cafe",NA,"Iced coffee",NA,"Milk, dairy alternative, or coffee creamer",NA,NA,"Fruity","Medium","Medium","Full caffeine",3,1,4,3,3,1,4,2,3,3,4,5,1,"Coffee C","Coffee A","Coffee C","I primarily work from home","$20-$40","No","$6-$8","$8-$10","Yes","$100-$300","Yes","Male","Bachelor's degree","Employed full-time","3","Democrat"
"122","25-34 years old","2","At home",NA,"Pourover",NA,"No - just black",NA,NA,"Sweet","Medium","Nordic","Full caffeine",7,1,5,5,4,1,2,2,3,3,1,4,4,"Coffee A","Coffee A","Coffee A","I primarily work in person","$40-$60","Yes","$15-$20","More than $20","No","$300-$500","Yes","Male","Bachelor's degree","Employed full-time","None","Democrat"
